2016-07-10 14:00:51,843 | DEBUG | Buy+more+coffee1 | JpaInterceptor                   | 65 - org.apache.aries.jpa.blueprint - 2.3.0 | PreCall for bean taskService, method addTask
2016-07-10 14:00:51,843 | DEBUG | Buy+more+coffee1 | EMSupplierImpl                   | 67 - org.apache.aries.jpa.support - 2.3.0 | Creating EntityManager for persistence unit tasklist, coordination txInterceptor.org.apache.aries.jpa.example.tasklist.model.TaskService.addTask
2016-07-10 14:00:51,843 | TRACE | Buy+more+coffee1 | onFactoryImpl$SessionBuilderImpl | 118 - org.jboss.logging.jboss-logging - 3.3.0.Final | Opening Hibernate Session.  tenant=null, owner=null
2016-07-10 14:00:51,847 | DEBUG | Buy+more+coffee1 | JtaTransactionCoordinatorImpl    | 118 - org.jboss.logging.jboss-logging - 3.3.0.Final | Hibernate RegisteredSynchronization successfully registered with JTA platform
2016-07-10 14:00:51,848 | TRACE | Buy+more+coffee1 | SessionImpl                      | 118 - org.jboss.logging.jboss-logging - 3.3.0.Final | Opened Session [04fc8ad6-7549-4ce1-b40f-d1a5869a0a71] at timestamp: 14681484518
2016-07-10 14:00:51,854 | TRACE | Buy+more+coffee1 | IdentifierValue                  | 118 - org.jboss.logging.jboss-logging - 3.3.0.Final | ID unsaved-value strategy UNDEFINED
2016-07-10 14:00:51,854 | TRACE | Buy+more+coffee1 | AbstractSaveEventListener        | 118 - org.jboss.logging.jboss-logging - 3.3.0.Final | Transient instance of: org.apache.aries.jpa.example.tasklist.model.Task
2016-07-10 14:00:51,855 | TRACE | Buy+more+coffee1 | DefaultPersistEventListener      | 118 - org.jboss.logging.jboss-logging - 3.3.0.Final | Saving transient instance
2016-07-10 14:00:51,871 | DEBUG | Buy+more+coffee1 | AbstractSaveEventListener        | 118 - org.jboss.logging.jboss-logging - 3.3.0.Final | Generated identifier: 358, using strategy: org.hibernate.id.Assigned
2016-07-10 14:00:51,872 | TRACE | Buy+more+coffee1 | AbstractSaveEventListener        | 118 - org.jboss.logging.jboss-logging - 3.3.0.Final | Saving [org.apache.aries.jpa.example.tasklist.model.Task#358]
2016-07-10 14:00:51,927 | TRACE | Buy+more+coffee1 | ActionQueue                      | 118 - org.jboss.logging.jboss-logging - 3.3.0.Final | Adding an EntityInsertAction for [org.apache.aries.jpa.example.tasklist.model.Task] object
2016-07-10 14:00:51,929 | TRACE | Buy+more+coffee1 | ActionQueue                      | 118 - org.jboss.logging.jboss-logging - 3.3.0.Final | Adding insert with no non-nullable, transient entities: [EntityInsertAction[org.apache.aries.jpa.example.tasklist.model.Task#358]]
2016-07-10 14:00:51,930 | TRACE | Buy+more+coffee1 | ActionQueue                      | 118 - org.jboss.logging.jboss-logging - 3.3.0.Final | Adding resolved non-early insert action.
2016-07-10 14:00:51,934 | DEBUG | Buy+more+coffee1 | JpaInterceptor                   | 65 - org.apache.aries.jpa.blueprint - 2.3.0 | PostCallWithReturn for bean taskService, method addTask
2016-07-10 14:00:51,935 | DEBUG | Buy+more+coffee1 | TxInterceptorImpl                | 70 - org.apache.aries.transaction.blueprint - 2.1.0 | PostCallWithReturn for bean taskService, method public abstract void org.apache.aries.jpa.example.tasklist.model.TaskService.addTask(org.apache.aries.jpa.example.tasklist.model.Task).
2016-07-10 14:00:51,935 | DEBUG | Buy+more+coffee1 | EMSupplierImpl                   | 67 - org.apache.aries.jpa.support - 2.3.0 | Closing EntityManager for persistence unit tasklist as coordination txInterceptor.org.apache.aries.jpa.example.tasklist.model.TaskService.addTask ended.
2016-07-10 14:00:51,935 | TRACE | Buy+more+coffee1 | SessionImpl                      | 118 - org.jboss.logging.jboss-logging - 3.3.0.Final | Closing session [04fc8ad6-7549-4ce1-b40f-d1a5869a0a71]
2016-07-10 14:00:51,935 | TRACE | Buy+more+coffee1 | JdbcCoordinatorImpl              | 118 - org.jboss.logging.jboss-logging - 3.3.0.Final | Closing JDBC container [org.hibernate.engine.jdbc.internal.JdbcCoordinatorImpl@19f6e195]
2016-07-10 14:00:51,936 | TRACE | Buy+more+coffee1 | ResourceRegistryStandardImpl     | 118 - org.jboss.logging.jboss-logging - 3.3.0.Final | Releasing JDBC resources
2016-07-10 14:00:51,936 | TRACE | Buy+more+coffee1 | LogicalConnectionManagedImpl     | 118 - org.jboss.logging.jboss-logging - 3.3.0.Final | Closing logical connection
2016-07-10 14:00:51,936 | TRACE | Buy+more+coffee1 | LogicalConnectionManagedImpl     | 118 - org.jboss.logging.jboss-logging - 3.3.0.Final | Logical connection closed
2016-07-10 14:00:51,938 | TRACE | Buy+more+coffee1 | RegisteredSynchronization        | 118 - org.jboss.logging.jboss-logging - 3.3.0.Final | Registered JTA Synchronization : beforeCompletion()
2016-07-10 14:00:51,939 | TRACE | Buy+more+coffee1 | llbackCoordinatorNonTrackingImpl | 118 - org.jboss.logging.jboss-logging - 3.3.0.Final | Synchronization coordinator: beforeCompletion()
2016-07-10 14:00:51,939 | TRACE | Buy+more+coffee1 | SessionImpl                      | 118 - org.jboss.logging.jboss-logging - 3.3.0.Final | SessionImpl#beforeTransactionCompletion()
2016-07-10 14:00:51,939 | TRACE | Buy+more+coffee1 | chronizationRegistryStandardImpl | 118 - org.jboss.logging.jboss-logging - 3.3.0.Final | SynchronizationRegistryStandardImpl.notifySynchronizationsBeforeTransactionCompletion
2016-07-10 14:00:51,940 | TRACE | Buy+more+coffee1 | RegisteredSynchronization        | 118 - org.jboss.logging.jboss-logging - 3.3.0.Final | Registered JTA Synchronization : afterCompletion(3)
2016-07-10 14:00:51,940 | TRACE | Buy+more+coffee1 | nCallbackCoordinatorTrackingImpl | 118 - org.jboss.logging.jboss-logging - 3.3.0.Final | Synchronization coordinator: afterCompletion(status=3)
2016-07-10 14:00:51,940 | TRACE | Buy+more+coffee1 | llbackCoordinatorNonTrackingImpl | 118 - org.jboss.logging.jboss-logging - 3.3.0.Final | Synchronization coordinator: doAfterCompletion(successful=true, delayed=false)
2016-07-10 14:00:51,940 | TRACE | Buy+more+coffee1 | chronizationRegistryStandardImpl | 118 - org.jboss.logging.jboss-logging - 3.3.0.Final | SynchronizationRegistryStandardImpl.notifySynchronizationsAfterTransactionCompletion(3)
2016-07-10 14:00:51,940 | TRACE | Buy+more+coffee1 | ractLogicalConnectionImplementor | 118 - org.jboss.logging.jboss-logging - 3.3.0.Final | LogicalConnection#afterTransaction
2016-07-10 14:00:51,941 | TRACE | Buy+more+coffee1 | ResourceRegistryStandardImpl     | 118 - org.jboss.logging.jboss-logging - 3.3.0.Final | Releasing JDBC resources
